0,1,2,3,4,5,6,7,8,9,10
472,514,438,457,472,564,506,519,471,499,505
546,480,472,470,506,518,505,506,489,480,455
473,497,464,465,455,505,472,530,505,471,531
522,488,513,498,488,472,521,531,481,514,496
513,481,497,469,464,530,489,480,499,465,489
480,530,505,490,455,489,482,538,480,505,538
530,472,472,488,489,480,538,506,523,495,497
497,489,521,438,439,514,481,466,486,465,514
489,530,489,480,496,497,479,545,499,540,513
513,455,489,488,456,480,540,497,437,479,489
514,522,514,448,505,541,455,455,505,486,521
513,497,498,513,447,496,496,563,490,524,508
507,480,480,490,480,481,498,480,480,471,497
489,530,514,454,472,530,463,506,489,504,520
505,497,472,530,505,504,482,547,481,515,490
480,506,488,473,438,497,513,513,496,471,513
497,513,489,454,473,530,464,489,458,514,514
514,489,463,522,479,507,505,555,496,490,471
463,521,505,447,449,504,497,580,471,504,531
513,489,472,473,472,539,480,514,473,490,489
498,505,489,504,471,500,514,530,513,539,488
471,438,497,447,472,505,480,480,523,520,522
522,523,488,488,472,514,497,518,489,471,554
472,488,472,464,439,505,496,510,537,489,531
480,472,505,438,489,505,473,491,507,505,489
522,521,455,508,446,495,513,535,503,476,479
480,473,506,494,456,506,480,498,456,495,523
481,506,463,475,488,496,522,513,480,490,472
538,522,480,471,456,496,505,514,491,455,497
455,497,614,454,489,497,464,489,453,515,513
498,547,472,482,463,498,538,543,496,470,472
513,496,489,472,455,479,464,521,499,471,531
472,522,521,463,496,531,497,494,470,539,504
538,455,489,504,448,513,530,490,489,455,506
497,505,496,449,472,507,472,505,498,490,522
489,489,539,513,471,508,538,513,471,486,488
521,506,481,447,439,522,506,542,497,455,505
506,522,513,455,488,489,472,529,491,500,497
496,513,506,504,456,537,538,462,478,470,481
506,505,471,423,472,499,481,497,525,471,530
472,505,531,472,472,520,488,530,446,504,480
513,522,463,523,447,505,513,489,495,450,514
497,522,488,473,496,480,489,546,507,505,521
514,522,498,504,464,532,497,505,456,461,480
463,506,479,481,455,497,497,515,498,465,539
523,520,447,471,497,523,488,554,504,505,464
496,473,539,504,447,504,497,514,456,455,505
555,481,455,473,480,488,489,522,522,506,521
538,520,514,487,472,513,530,505,495,479,490
481,489,504,489,447,498,481,497,464,475,538
489,539,465,480,497,547,546,547,529,544,505
513,513,513,497,439,504,480,505,489,471,514
489,473,489,482,471,498,498,491,489,500,505
505,504,489,504,473,546,513,511,524,470,489
489,481,487,471,521,471,472,526,512,480,529
504,504,472,475,489,514,521,527,456,505,506
489,531,514,471,455,539,489,522,488,475,506
489,489,472,489,455,480,489,513,472,505,512
521,505,506,438,489,554,513,518,482,489,490
473,573,530,481,438,623,489,514,513,505,521
521,471,472,497,472,505,505,563,478,520,496
489,506,489,444,473,548,489,485,473,471,498
480,504,530,516,437,481,546,521,483,480,538
530,464,479,470,498,513,522,556,495,504,497
472,514,472,455,446,514,473,497,515,466,538
521,505,514,530,489,522,504,505,477,529,506
497,480,512,466,473,529,497,539,491,490,491
516,513,525,464,454,498,488,471,489,481,504
488,464,480,503,472,505,530,491,505,513,522
514,514,472,474,472,505,458,537,490,456,472
472,488,505,479,438,488,472,447,520,514,521
497,472,472,506,506,522,530,522,489,520,489
497,513,505,462,446,489,480,540,489,480,530
488,489,497,489,491,505,472,487,530,515,481
498,489,480,473,497,521,522,508,482,480,514
488,463,522,454,480,489,455,527,521,495,505
497,472,488,510,456,523,522,489,530,490,480
497,505,514,544,505,505,497,555,464,465,529
480,506,489,454,455,480,530,509,480,520,481
514,464,472,456,472,521,481,511,497,466,531
479,496,497,496,480,480,513,517,505,455,488
489,457,463,448,438,480,489,493,481,505,529
506,488,473,472,497,505,479,522,514,470,514
463,505,514,488,456,473,531,489,438,475,498
514,472,463,446,463,512,472,523,472,511,521
471,497,481,505,472,474,513,497,523,455,506
481,498,513,491,447,489,497,480,471,490,522
521,479,456,447,472,489,505,488,514,489,487
456,514,497,488,472,489,506,531,521,456,515
505,489,512,464,438,514,488,539,481,511,538
496,547,557,455,481,486,522,497,481,464,489
473,513,521,497,438,474,481,522,530,530,539
529,480,506,439,456,506,504,497,500,514,521
473,488,480,472,463,463,489,538,536,456,473
497,513,522,480,488,472,471,539,523,520,537
504,456,513,438,456,505,523,480,481,455,480
498,505,480,498,480,455,480,505,486,490,490
505,497,522,454,472,489,489,488,514,495,538
522,480,481,464,456,487,513,489,472,450,463
472,538,479,488,504,449,455,481,505,520,513
497,481,456,447,456,511,505,505,483,480,524
505,481,497,506,471,480,498,497,503,481,488
480,521,472,438,489,473,454,488,447,514,522
497,480,515,473,439,506,523,531,505,480,504
472,463,480,480,488,471,478,523,481,514,498
497,514,463,438,447,489,465,538,480,456,512
488,522,489,489,455,471,523,472,547,495,498
514,523,464,455,489,480,496,523,522,480,531
530,505,497,463,430,499,481,529,497,475,495
456,487,513,489,472,455,546,497,489,510,506
513,498,472,446,481,505,480,514,449,475,513
489,497,523,473,429,481,514,489,455,495,489
454,513,479,480,498,461,530,479,523,499,539
523,481,480,447,454,505,497,514,471,461,488
480,504,506,497,464,449,522,506,520,514,538
471,497,496,455,497,472,505,509,505,471,499
523,473,464,480,438,489,505,518,480,481,520
454,546,497,505,514,446,522,497,522,504,507
489,522,498,456,488,496,506,530,482,450,504
488,513,496,497,456,465,521,514,449,520,522
456,539,523,480,481,544,489,472,506,471,491
498,472,498,463,454,500,496,514,504,490,504
488,522,522,505,498,454,612,515,479,504,539
481,472,480,464,462,481,474,445,473,475,488
513,455,480,480,465,471,505,531,499,504,531
472,506,497,489,480,480,497,513,505,486,514
489,505,472,464,430,498,498,494,486,475,479
505,463,464,479,465,455,473,534,489,520,538
472,497,514,464,488,472,445,506,496,481,498
497,489,471,530,473,495,530,479,456,474,496
488,489,481,456,497,450,500,559,440,495,539
489,505,523,464,488,505,454,502,520,456,464
505,480,471,505,464,461,522,490,456,495,521
481,473,481,463,521,466,514,556,496,485,523
521,529,513,497,481,494,503,491,464,451,480
464,506,464,480,472,456,522,495,458,490,555
480,472,497,464,505,490,514,603,519,490,505
538,506,496,455,472,479,463,482,456,456,498
448,472,481,481,496,465,464,471,454,495,536
504,521,505,479,489,505,498,531,498,465,507
523,480,497,557,463,462,505,516,489,471,610
455,522,489,489,514,500,457,480,446,499,514
521,505,505,496,489,505,472,537,482,446,514
473,482,498,472,496,495,487,499,454,505,506
488,513,488,497,506,499,488,499,473,455,499
522,504,488,472,496,486,506,510,483,471,520
446,497,481,489,531,490,531,537,546,489,470
498,531,513,488,472,514,496,526,471,437,516
489,463,481,464,513,456,506,535,463,509,514
454,497,496,497,497,495,489,497,457,480,490
506,580,523,472,463,499,504,531,456,470,526
463,496,472,480,531,455,464,491,464,515,514
497,489,513,496,472,527,514,499,494,461,480
506,538,497,456,480,464,497,535,475,564,522
504,448,480,488,531,480,521,512,480,489,489
481,514,522,481,471,515,481,538,470,465,479
513,521,522,480,497,455,491,514,496,505,506
481,472,472,480,514,490,453,523,475,471,471
513,488,522,489,463,489,472,521,481,471,539
497,523,471,447,530,461,538,514,496,504,481
489,473,456,488,489,490,481,473,481,450,496
513,512,606,472,489,471,514,551,477,485,506
489,497,480,455,505,480,531,517,481,490,471
480,455,505,506,480,474,521,488,481,456,517
513,506,539,455,514,461,498,506,482,505,496
481,531,513,472,479,499,512,564,469,470,489
521,463,506,479,498,471,500,480,455,480,522
506,480,530,440,497,481,496,539,498,500,472
564,538,497,496,471,495,504,471,455,460,496
529,464,481,439,506,449,496,481,463,509,515
472,498,521,480,479,496,505,514,489,462,469
497,488,489,480,481,480,481,488,438,489,525
514,465,473,447,538,446,481,522,435,496,469
505,497,515,505,472,524,530,505,503,480,516
530,480,522,455,498,461,471,514,471,514,488
482,464,497,481,513,490,491,504,456,465,491
463,505,497,497,472,498,514,514,505,480,473
514,489,480,463,521,447,479,506,456,505,537
488,497,497,489,489,505,481,513,481,455,497
480,505,498,480,472,480,505,543,496,496,489
514,513,479,464,563,471,491,539,472,499,514
472,498,514,512,516,489,504,475,488,455,496
497,489,488,465,471,514,581,541,464,521,504
505,504,514,480,506,514,480,536,456,470,505
472,505,514,497,472,462,520,464,463,480,488
530,515,472,464,505,499,515,550,475,515,525
472,479,522,504,480,495,463,478,444,455,487
489,506,505,481,488,456,522,499,456,506,523
521,516,472,463,514,513,515,520,465,465,514
481,479,523,506,464,472,497,479,464,529,512
522,489,505,455,513,465,539,534,506,466,520
479,496,472,496,497,538,496,541,460,470,467
498,531,545,490,472,487,454,534,472,505,496
505,522,515,463,514,473,490,480,465,455,530
463,488,497,482,464,512,506,614,479,530,453
506,464,530,464,479,456,512,471,467,534,507
480,521,497,463,506,465,539,481,469,485,495
497,499,488,497,438,523,455,506,472,524,483
513,455,539,446,514,447,465,479,455,486,512
472,530,515,481,488,505,507,481,472,499,464
531,514,471,481,464,471,461,538,467,520,623
454,498,539,446,514,489,489,514,477,475,481
489,496,489,496,488,471,530,489,464,530,471
505,465,455,521,489,480,456,530,433,479,529
497,503,514,488,521,499,482,489,505,515,454
455,506,464,447,472,437,494,515,478,519,506
